sample_index,PLS1,PLS2,condition
170,4.042652338151557,4.684861424670947,N-lim
171,3.0827692139379472,7.174948396673226,N-lim
172,5.780313301713489,-2.829183067071786,N-lim
173,4.778229505115864,-2.448327504834762,N-lim
174,4.65134483831795,1.3520046792328584,N-lim
175,4.698226942821994,-0.05954702626776723,N-lim
176,2.5814435948385013,9.452859892000063,N-lim
177,3.5554772242735853,5.939633906604564,N-lim
178,3.7648374202383383,3.5728466690331055,N-lim
179,4.713388862807978,1.3952481391639582,N-lim
180,6.332842213565052,-5.94528360698361,N-lim
181,5.839809755980637,-5.566553261335475,N-lim
182,5.441717891853173,-2.1721995079686187,N-lim
183,3.857821340022605,5.847757243114884,N-lim
184,4.013230403892854,2.8465444253173655,N-lim
185,3.8987659862356128,4.52252697082652,N-lim
186,5.4993735637429735,-2.7080386281839286,N-lim
187,4.970825305970906,-1.9156388866921885,N-lim
188,4.821266966979967,0.6194976484476082,N-lim
189,4.792220985494136,-1.344030179994539,N-lim
190,5.802551510225998,-4.197567933064048,N-lim
191,4.0391456257243155,3.323287621124234,N-lim
192,3.8323557978611307,3.4985130549325945,N-lim
193,4.575950745020852,0.31269510581631627,N-lim
194,5.848836296668968,-5.070799503337093,N-lim
195,3.430151699894951,5.4341375654573225,N-lim
196,4.380199158392507,3.387913665538523,N-lim
197,4.512972062689798,1.1884683615893812,N-lim
198,4.3939900271544134,2.337559331936219,N-lim
199,6.573959622065828,-7.203800342626135,N-lim
