generation,kcat_index,mu_log10_kcat
3,kcat_7,3.648922250195257
4,kcat_7,3.6595180491599355
5,kcat_7,3.6913461110724084
6,kcat_7,3.703692810878491
7,kcat_7,3.7119555825684674
8,kcat_7,3.7520999289205266
9,kcat_7,3.7638767466501384
10,kcat_7,3.7692208379954137
11,kcat_7,3.7935313513483906
12,kcat_7,3.7921220120317045
13,kcat_7,3.7998443815898817
14,kcat_7,3.8054344277788776
15,kcat_7,3.8242004671745686
16,kcat_7,3.8253760768772347
17,kcat_7,3.8173166941677503
18,kcat_7,3.8164192793111673
19,kcat_7,3.8097209845288944
20,kcat_7,3.819781956665202
21,kcat_7,3.8227497076487564
22,kcat_7,3.8234557004333514
23,kcat_7,3.821396130528423
24,kcat_7,3.8219883873319107
25,kcat_7,3.8204449047875024
26,kcat_7,3.8252078843972224
27,kcat_7,3.8228764386030805
28,kcat_7,3.8237162359733747
29,kcat_7,3.828985528215927
30,kcat_7,3.8193769541782077
31,kcat_7,3.8110705962678564
32,kcat_7,3.81656248847756
33,kcat_7,3.822596323980971
34,kcat_7,3.829834904509363
35,kcat_7,3.828887495341009
36,kcat_7,3.8412289354265217
37,kcat_7,3.8381610747504484
38,kcat_7,3.840299602717877
39,kcat_7,3.844233428121621
40,kcat_7,3.8517613631183103
41,kcat_7,3.8522155834674554
42,kcat_7,3.8556605880918746
43,kcat_7,3.856509815575128
44,kcat_7,3.8556283551464143
45,kcat_7,3.8515694956993634
46,kcat_7,3.8515879910488753
47,kcat_7,3.8537271861363225
48,kcat_7,3.856673800800248
49,kcat_7,3.8531098501257737
0,kcat_8,5.1167868637420595
1,kcat_8,5.105171557194095
2,kcat_8,5.136647068662439
3,kcat_8,5.1547293876596925
4,kcat_8,5.153558746412507
5,kcat_8,5.147672300146278
6,kcat_8,5.13158716031191
7,kcat_8,5.120194716825044
8,kcat_8,5.11005489315839
9,kcat_8,5.1168125291612085
10,kcat_8,5.110652546432005
11,kcat_8,5.1166455226205745
12,kcat_8,5.117461334569272
13,kcat_8,5.1099027975917775
14,kcat_8,5.115305318905806
15,kcat_8,5.096533515509534
16,kcat_8,5.099371940698057
17,kcat_8,5.107645701881865
18,kcat_8,5.09692671547763
19,kcat_8,5.101389742358683
20,kcat_8,5.098445959536114
21,kcat_8,5.105992541195058
22,kcat_8,5.107457736423046
23,kcat_8,5.10665726141399
24,kcat_8,5.106668535329415
25,kcat_8,5.106937684771513
26,kcat_8,5.112065846853022
27,kcat_8,5.113921500784919
28,kcat_8,5.109365533925273
29,kcat_8,5.117347408846666
30,kcat_8,5.120965884904669
31,kcat_8,5.120270040658209
32,kcat_8,5.124927835734896
33,kcat_8,5.120681540280043
34,kcat_8,5.109536955396526
35,kcat_8,5.1099542230823864
36,kcat_8,5.113930099174688
37,kcat_8,5.114255320922238
38,kcat_8,5.119285450622848
39,kcat_8,5.116067624808717
40,kcat_8,5.110539032997015
41,kcat_8,5.108340861583039
42,kcat_8,5.112255932866053
43,kcat_8,5.119080942268518
44,kcat_8,5.126640867526055
45,kcat_8,5.121192309719638
46,kcat_8,5.120775706660712
47,kcat_8,5.113191145296448
48,kcat_8,5.116697086518028
49,kcat_8,5.115327912196205
0,kcat_9,3.936175877090977
1,kcat_9,3.925827243872828
2,kcat_9,3.896559952615582
3,kcat_9,3.8865561128643336
4,kcat_9,3.880037189440951
5,kcat_9,3.8859148238625485
6,kcat_9,3.8936214933624718
