Gene_ID,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17
b3616,3.01E-06,3.98E-05,2.51E-05,1.04E-05,6.26E-06,4.87E-06,3.98E-06,4.38E-06,3.55E-06,4.38E-06,3.76E-06,3.74E-06,5.62E-06,5.46E-06,4.44E-06,6.48E-06,4.11E-06
b3671,3.03E-05,3.61E-05,3.36E-05,2.34E-05,2.47E-05,2.63E-05,3.38E-05,1.27E-05,3.43E-05,2.68E-05,2.00E-05,1.82E-05,2.73E-05,3.25E-05,1.52E-05,2.83E-05,2.73E-05
b2500,7.63E-06,9.01E-06,8.02E-06,3.93E-06,4.83E-06,6.33E-06,4.83E-06,5.82E-06,3.80E-06,3.37E-06,2.61E-06,2.23E-06,5.95E-06,4.35E-06,4.05E-06,4.52E-06,6.21E-06
b2315,6.06E-06,1.05E-05,9.37E-06,2.87E-06,4.10E-06,4.63E-06,4.63E-06,3.95E-06,3.88E-06,3.00E-06,2.45E-06,1.89E-06,3.53E-06,3.53E-06,2.29E-06,4.01E-06,4.41E-06
b1136,0.000560059,0.000323784,0.000570998,0.000498803,0.000492239,0.000527243,0.000409106,0.0005885,0.000507553,0.000455048,0.000369726,0.000253777,0.000535994,0.000557871,0.000360976,0.000465987,0.000393792
b3365,5.04E-08,2.04E-07,6.79E-08,5.58E-08,4.64E-08,6.79E-08,5.57E-08,5.47E-08,5.17E-08,3.80E-08,3.22E-08,3.63E-08,3.55E-08,7.62E-08,3.87E-08,5.33E-08,8.46E-08
b1281,2.50E-05,1.69E-05,1.50E-05,9.73E-06,1.71E-05,1.96E-05,2.06E-05,1.57E-05,1.36E-05,7.83E-06,5.28E-06,4.71E-06,2.23E-05,1.60E-05,1.30E-05,2.08E-05,2.52E-05
b1714,8.43E-05,0.000109267,9.00E-05,4.40E-05,5.90E-05,5.98E-05,6.71E-05,6.20E-05,6.50E-05,5.68E-05,5.52E-05,4.95E-05,6.12E-05,6.44E-05,5.16E-05,5.74E-05,7.31E-05
b0099,6.01E-08,1.26E-08,0,2.59E-09,4.58E-08,5.15E-08,2.35E-08,3.45E-07,6.78E-08,1.07E-07,3.07E-07,1.41E-09,0,0,3.40E-10,4.26E-08,0
b3972,9.18E-07,1.47E-06,5.98E-07,2.94E-07,6.35E-07,7.19E-07,6.35E-07,6.90E-07,4.81E-07,3.86E-07,3.46E-07,2.31E-07,5.03E-07,3.62E-07,3.33E-07,3.99E-07,5.85E-07
b0839,1.64E-05,1.59E-05,1.29E-05,1.71E-05,2.11E-05,1.67E-05,2.94E-05,2.87E-05,1.73E-05,1.70E-05,1.98E-05,2.15E-05,1.94E-05,2.50E-05,2.18E-05,2.07E-05,2.55E-05
b4024,6.19E-05,6.35E-06,7.88E-06,2.19E-05,1.44E-05,2.33E-05,3.05E-05,3.57E-05,2.62E-05,1.45E-05,9.82E-06,7.43E-06,4.60E-05,3.61E-05,1.70E-05,1.83E-05,5.42E-05
b2416,0.000168494,8.63E-05,7.31E-05,4.41E-05,5.40E-05,0.000107395,6.83E-05,5.10E-05,0.000115426,8.46E-05,6.71E-05,5.61E-05,7.92E-05,8.90E-05,7.40E-05,5.68E-05,0.000153849
b0522,3.78E-06,3.07E-06,3.45E-06,1.52E-06,2.31E-06,2.71E-06,2.74E-06,3.53E-06,2.27E-06,1.31E-06,9.97E-07,7.86E-07,4.77E-06,4.26E-06,2.11E-06,3.75E-06,5.28E-06
b3564,7.97E-07,7.27E-07,8.45E-07,6.39E-07,7.13E-07,8.50E-07,7.42E-07,6.92E-07,6.01E-07,7.25E-07,7.97E-07,9.76E-07,3.33E-05,9.36E-07,7.36E-07,6.70E-07,6.92E-07
b0759,1.03E-05,2.90E-05,2.39E-05,8.73E-06,1.05E-05,1.28E-05,1.01E-05,1.08E-05,9.08E-06,1.07E-05,9.11E-06,7.50E-06,8.70E-06,1.24E-05,8.78E-05,1.01E-05,1.04E-05
b0758,2.50E-06,8.00E-06,5.66E-06,1.69E-06,1.99E-06,2.49E-06,2.44E-06,2.85E-06,1.82E-06,1.90E-06,1.52E-06,1.27E-06,2.26E-06,2.28E-06,1.31E-05,1.92E-06,1.82E-06
b1224,2.69E-09,2.43E-07,4.64E-09,1.58E-08,8.33E-09,6.17E-08,2.41E-08,2.72E-08,8.41E-09,1.29E-08,2.06E-08,3.63E-08,1.43E-08,3.98E-08,7.98E-08,7.84E-08,1.91E-08
