,log10_kcat_mean,log10_kcat_std,log10_kcat_max,log10_kcat_max_std
OP4ENH,1.741917767,0.682770968,2.34685908,0.366057446
HOPNTAL,0.697862037,1.043396037,2.470837748,0.16009383
AKGDH,1.680816702,1.327967347,2.599046578,0.169107245
HPYRRx,-0.602059991,1,-0.602059991,1
GLYCDx,0.401400541,0.124938737,0.468867459,0.105156564
ASP1DC,-0.187086643,1,-0.187086643,1
UHGADA,0.0836359,0.398224148,0.382674603,0.264211833
UAGAAT,1.021189299,1,1.021189299,1
UAGAAT_REV,1.021189299,1,1.021189299,1
ATPPRT,0.322556546,0.077653777,0.384718993,0.071474247
HISTD,0.161368002,1,0.161368002,1
IGPDH,3,1,3,1
PRPPS,1.228643556,0.815224082,1.724863027,0.199567453
PRPPS_REV,1.228643556,0.815224082,1.701919855,0.275143587
PRMICI,1.330243008,0.17490697,1.424692772,0.147213078
PRMICI_REV,1.330243008,0.17490697,1.417696493,0.15147388
SERAT,0.149166199,1.162687111,1.616655961,1.026780343
SERAT_REV,0.149166199,1.162687111,1.366232883,1.106692267
CYSS,1.608293491,0.549340447,2.126011267,0.427169652
BPNT,1.043907097,0.249212797,1.215625038,0.161444046
PAPSR,-0.474955193,1,-0.474955193,1
ASPK,1.575761534,0.177821525,1.661115866,0.15599722
ASPK_REV,1.011562814,0.772342562,1.646736548,0.191151181
ASAD,2.330082277,0.193539925,2.490218484,0.089973816
ASAD_REV,1.948411834,0.801234092,2.51851394,4.44E-16
DAPDC,1.022886345,0.171627997,1.118998023,0.142192526
METAT,0.072287104,0.103804155,0.13664568,0.081444928
ACBIPGT,-1.134044529,0.102527477,-1.066376394,0.077025367
ADOCBLS,-0.173925197,1,-0.173925197,1
ADOCBIK,-0.659646456,0.059320177,-0.612190314,0.035592106
HPPPNDO,0.773243498,0.498324831,1.198480358,0.425841141
DHCINDO,0.773243498,0.498324831,1.137606399,0.444630838
HKNDDH,-0.571333752,0.872363747,0.039320871,0.622992327
HKNTDH,-0.571333752,0.872363747,-0.257282803,0.813873767
GLYCK2,2.544068044,1,2.544068044,1
SULR,1.812913357,1,1.812913357,1
URDGLYCD,1.774928325,0.018850312,1.793107267,0.006587281
ACM6PH,0.755874856,1,0.755874856,1
NNATr,0.648332595,0.092030094,0.683304031,0.085126594
NNATr_REV,0.648332595,0.092030094,0.696188244,0.078609002
CYTDH,0.726044667,0.47858871,1.003543591,0.241106133
PSERT,0.396199347,1,0.396199347,1
AIRC2,1.39497672,1,1.39497672,1
GAPD,1.348863101,0.536666371,1.8441325,0.005490296
GAPD_REV,1.348863101,0.536666371,1.844454346,0.004505856
HEX1,2.289697422,0.323086435,2.457702368,0.275969532
GND,1.928137817,0.583745544,2.243360411,0.491318203
TAUDO,0.477121255,1,0.477121255,1
ME2,2.764922985,1,2.764922985,1
CBPS,0.973127854,1,0.973127854,1
IPPS,0.854319556,0.223584334,1.026042533,0.145931519
ACOATA,-1.268528524,1.550777505,-0.071150542,1.042106035
ACOATA_REV,-0.8197543,1.026151796,1.415000918,0.051955734
MLTG1,1.692128794,0.654653138,2.446817055,0.306614813
AMALT3,1.929809289,0.587386609,2.188259397,0.527471866
MLTP3,1.438678125,0.723173003,2.201659916,0.507994153
MLTP3_REV,1.101366729,0.488582872,1.44337474,0.348917961
AHCYSNS,-0.706870076,1.488379399,0.696470731,0.256483765
NTPP4,1.0877497,0.905845003,1.88604592,0.139562977
NTPP3,1.0877497,0.905845003,1.855056781,0.144653518
NTPP6,1.80559603,0.172127575,1.888217266,0.151002097
NTPP7,1.80559603,0.172127575,1.898544921,0.144873758
NTPP8,1.80559603,0.172127575,1.908872575,0.13770206
P5CR,2.654850091,1,2.654850091,1
CYANST,2.50851667,0.093543322,2.553417464,0.082062608
GMAND,0.548146196,0.400448563,0.82630531,0.203980046
PPCSCT,1.152288344,1,1.152288344,1
CYTD,0.681241237,1,0.681241237,1
DCYTD,0.612654641,0.068586597,0.644204475,0.060899336
DCTPD,0.093421685,1,0.093421685,1
G1PACT,2.592731352,0.478312028,2.91065597,0.142051425
CSND,2.267171728,1,2.267171728,1
GF6PTA,1.231707576,0.003820871,1.233847264,0.003165563
GLUCYS,2.065138474,1.64046577,3.894183884,0.011255511
GLUN,0.959065756,1.271538185,2.733029135,0.61582798
GMPR,-0.552841969,1,-0.552841969,1
NADS1,-0.460705235,0.797982185,0.453781764,0.100979012
OCBT,3.531478917,1,3.531478917,1
OCBT_REV,1.954242509,1,1.954242509,1
GARFT,0.276892823,1.338579129,1.532640557,0.164066293
GARFT_REV,0.276892823,1.338579129,1.545274118,0.156714407
GPDDA1,-0.298231191,1.391558698,1.798759475,0.725935616
GPDDA2,-0.298231191,1.391558698,1.714517697,0.755782081
PHETA1,1.270102662,1.43839022,2.829713445,0.358241831
PHETA1_REV,1.986101419,0.839973384,2.305291305,0.776964029
PPND,1.751913923,0.437453804,2.166327581,0.121211127
TRPS1,1.244118385,0.325903839,1.496711938,0.27700639
