Value,Category,Type
0.38781998721429256,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.38351529277723345,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3830529105229866,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3823882828399596,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.38073496702757453,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.38035469616726014,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.37733308813706856,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3761144150694968,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3745354199948659,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.37409143494424474,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.37314600116137986,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.37110739318664165,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3708145458106279,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.37077140040585393,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.36974062866245566,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3688671411319024,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3677630198328885,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.36683585607150626,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.36665249613787027,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3661879856971426,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3657723589594733,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3655018747861507,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3651391331269784,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3647021097097216,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3641142614256723,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3640350433923693,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3638534747644492,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3636316091429544,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.36346668401282567,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.363433236386667,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3633314400998888,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3626728047541811,GAN+<i>V</i><sub>syn</sub>,Corr_All
