NAME,ENTRY,Gene_name,Protein_name_x,half_life_x,Protein_name_y,half_life_y,half_life_all_x,half_life_all_y,kdeg
YCL017C,P25374,YCL017C,P25374,1.999232302,P25374,6.432499,1.999232302,6.432499,0.10775706
YCL018W,P04173,YCL018W,P04173,3.36834228,,,3.36834228,3.36834228,0.205782882
YCL030C,P00815,YCL030C,P00815,3.657931202,P00815,127.4904,3.657931202,127.4904,0.005436858
YCL035C,P25373,YCL035C,P25373,4.116839662,P25373,9.485144,4.116839662,9.485144,0.073077138
YCL040W,P17709,YCL040W,P17709,7.542513641,P17709,15.08832,7.542513641,15.08832,0.045939321
YCL047C,P25576,YCL047C,,,P25576,160.4553,160.4553,160.4553,0.004319877
YCL050C,P16550,YCL050C,P16550,2.28316773,P16550,15.06681,2.28316773,15.06681,0.046004906
YCL052C,P25580,YCL052C,P25580,3.111917939,,,3.111917939,3.111917939,0.222739543
YCL064C,P25379,YCL064C,P25379,0.486767439,P25379,1.509454,0.486767439,1.509454,0.459203911
YCR005C,P08679,YCR005C,P08679,3.503773116,P08679,1.402414,3.503773116,1.402414,0.494252896
YCR011C,P25371,YCR011C,P25371,4.309955569,P25371,17.13311,4.309955569,17.13311,0.040456588
YCR012W,P00560,YCR012W,P00560,3.450800433,P00560,16.40995,3.450800433,16.40995,0.042239445
YCR024C,P32903,YCR024C,,,P25345,9.50325,9.50325,9.50325,0.072937909
YCR034W,P25358,YCR034W,P25358,1.999069862,P25358,34.04325,1.999069862,34.04325,0.020360782
YCR036W,P25332,YCR036W,P25332,2.630239107,P25332,8.040551,2.630239107,8.040551,0.086206428
YCR037C,P25360,YCR037C,P25360,1.070354519,,,1.070354519,1.070354519,0.647586541
YCR048W,P25628,YCR048W,P25628,2.824576958,,,2.824576958,2.824576958,0.245398582
YCR053W,P16120,YCR053W,P16120,1.801168292,P16120,10.28283,1.801168292,10.28283,0.067408212
YCR075C,P17261,YCR075C,,,P17261,6.837516,6.837516,6.837516,0.101374122
YCR083W,P25372,YCR083W,P25372,2.570896758,P25372,6.899114,2.570896758,6.899114,0.100469014
YDL004W,Q12165,YDL004W,Q12165,2.848031856,,,2.848031856,2.848031856,0.243377608
YDL015C,Q99190,YDL015C,Q99190,2.408369865,Q99190,10.98283,2.408369865,10.98283,0.063111892
YDL022W,Q00055,YDL022W,Q00055,4.508410545,Q00055,24.48329,4.508410545,24.48329,0.028311031
YDL040C,P12945,YDL040C,P12945,2.136969241,P12945,11.65568,2.136969241,11.65568,0.059468618
YDL042C,P06700,YDL042C,P06700,1.633421111,P06700,6.376208,1.633421111,6.376208,0.10870837
YDL045C,P38913,YDL045C,P38913,2.766602403,P38913,8.955528,2.766602403,8.955528,0.077398807
YDL052C,P33333,YDL052C,P33333,2.759304574,P33333,8.272319,2.759304574,8.272319,0.083791157
YDL055C,P41940,YDL055C,P41940,3.084554235,P41940,10.05609,3.084554235,10.05609,0.0689281
YDL066W,P21954,YDL066W,P21954,2.552451363,P21954,9.198844,2.552451363,9.198844,0.075351553
YDL067C,P07255,YDL067C,P07255,1.628721373,P07255,2.551895,1.628721373,2.551895,0.271620572
YDL078C,P32419,YDL078C,P32419,3.235991776,P32419,8.777592,3.235991776,8.777592,0.078967806
