Gene,kdeg_x,kdeg_y,vsyn_x,vsyn_y
YNR012W,0.310040533,0.102051249,9.98E-06,1.51E-05
YHR007C,0.577314758,0.261983653,1.01E-06,1.63E-06
YHR042W,0.313493432,0.069406453,1.38E-06,1.74E-06
YPR062W,0.310040533,0.102051249,9.98E-06,1.51E-05
YML086C,0.320154313,0.074152311,9.98E-06,1.51E-05
YMR041C,0.136625137,0.077707702,1.82E-07,2.45E-07
YBR149W,0.186965259,0.076921381,9.98E-06,1.51E-05
YKL060C,0.231200399,0.057717486,7.99E-05,0.000160613
YDL246C,0.310040533,0.102051249,9.98E-06,1.51E-05
YJR159W,0.310040533,0.102051249,9.98E-06,1.51E-05
YHR144C,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR454C,0.370609429,0.064961456,3.73E-06,5.31E-06
YHR068W,0.359540781,0.063421468,1.11E-06,1.62E-06
YCR036W,0.263530102,0.086206428,5.13E-08,5.74E-08
YDR196C,0.251910378,0.050720078,7.28E-08,1.67E-07
YNR057C,0.310040533,0.102051249,9.98E-06,1.51E-05
YPL087W,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR236W,0.310040533,0.102051249,9.98E-06,1.51E-05
YMR113W,0.310040533,0.102051249,9.98E-06,1.51E-05
YDL100C,0.283076776,0.053058375,1.14E-05,1.38E-05
YLR420W,0.374450284,0.062350201,2.34E-07,3.57E-07
YJR016C,0.452383019,0.059213944,4.17E-06,6.44E-06
YFL053W,0.310040533,0.102051249,9.98E-06,1.51E-05
YML070W,0.206055395,0.068020292,1.61E-06,2.60E-06
YJL167W,0.243476008,0.064100288,3.57E-05,6.23E-05
YKL152C,0.210610222,0.04994831,9.98E-06,1.51E-05
YLR172C,0.478912347,0.071117395,3.69E-06,3.82E-06
YMR013C,0.310040533,0.102051249,9.98E-06,1.51E-05
YPR183W,0.27513757,0.047109061,4.15E-06,8.97E-06
YAL023C,0.259291558,0.082624776,3.41E-07,5.21E-07
YDL095W,0.259821133,0.064941006,5.55E-08,1.20E-07
YDL093W,0.310040533,0.102051249,9.98E-06,1.51E-05
YJR143C,0.31355841,0.07024678,3.98E-08,5.77E-08
YOR321W,0.226266902,0.1025325,2.33E-09,5.91E-09
YJR057W,0.310040533,0.102051249,9.98E-06,1.51E-05
YJR069C,0.343209556,0.063425066,1.65E-07,3.11E-07
YBR252W,0.359403653,0.062266074,9.98E-06,1.51E-05
YJR153W,0.310040533,0.102051249,9.98E-06,1.51E-05
YPL281C,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR254W,0.310040533,0.102051249,9.98E-06,1.51E-05
YHR174W,0.232257378,0.043233475,9.98E-06,1.51E-05
YMR323W,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR393W,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR147W,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR126C,0.300795599,0.074460145,2.18E-07,3.69E-07
YDR261C,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR282C,0.277469381,0.08524226,1.95E-05,2.91E-05
YLR300W,0.293769522,0.44832005,5.49E-07,9.10E-07
YNR067C,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR190W,0.310040533,0.102051249,9.98E-06,1.51E-05
YPL069C,0.310040533,0.102051249,9.98E-06,1.51E-05
YER015W,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR176W,0.240360235,0.065474631,9.98E-06,1.51E-05
YKR066C,0.307279906,0.088280302,6.60E-07,1.51E-06
Q0045,0.310040533,0.102051249,9.98E-06,1.51E-05
Q0250,0.310040533,0.102051249,9.98E-06,1.51E-05
Q0275,0.310040533,0.102051249,9.98E-06,1.51E-05
YDL067C,0.425577506,0.271620572,4.54E-05,8.46E-05
YGL187C,0.283726849,0.131658838,1.09E-06,1.68E-06
YGL191W,0.391244989,0.303712605,3.65E-06,6.59E-06
YHR051W,0.250596969,0.13278094,9.98E-06,1.51E-05
YIL111W,0.226196392,0.156425707,5.27E-07,7.71E-07
YLR038C,0.228196426,0.150437877,9.66E-06,1.56E-05
YLR395C,0.225554995,0.17959242,7.98E-06,9.90E-06
YMR256C,0.310040533,0.102051249,9.98E-06,1.51E-05
YNL052W,0.827436697,0.223838404,5.18E-06,1.15E-05
YDR231C,0.154485166,0.07477845,1.56E-07,2.00E-07
YGR062C,0.310040533,0.102051249,9.98E-06,1.51E-05
YHR116W,0.240587793,0.160998953,2.45E-07,3.91E-07
YJL003W,0.310040533,0.102051249,9.98E-06,1.51E-05
YLL018C-A,0.310040533,0.102051249,9.98E-06,1.51E-05
YPL132W,0.310040533,0.102051249,9.98E-06,1.51E-05
