error,corr,pvalue,number,RMSE
4.026272808,0.408713206,2.19E-09,273.75,4.489174215
4.025887474,0.410417464,1.68E-09,285.875,4.659093066
4.068629033,0.428293833,3.06E-09,282.25,5.503029054
3.9722324,0.404124452,1.75E-10,274.9375,5.151517687
4.065717369,0.418772579,5.86E-09,277.9375,4.678397467
3.966722091,0.398523965,3.91E-09,279.5625,4.745622402
3.987569722,0.41991148,7.66E-09,284.3125,6.344353265
3.874637329,0.375294033,1.19E-07,278.75,4.404825999
4.003955582,0.409092102,1.17E-11,281.1875,5.018193596
4.083017909,0.443371194,1.63E-09,271.125,6.669275361
3.995878575,0.404919473,3.63E-10,285.4375,4.788150148
3.999917591,0.407454512,5.04E-11,279.1875,4.947921075
3.93193444,0.396060868,5.41E-06,278.875,5.229931509
4.060100316,0.424498672,1.57E-09,279.375,5.368726739
4.079196336,0.419574689,8.65E-11,277.625,4.529498571
4.070341132,0.430718148,7.05E-09,277.75,5.754066896
4.031946574,0.415530727,6.37E-09,276.3125,5.096085598
3.961213516,0.38799852,3.13E-10,274.875,3.914833758
4.059107465,0.416361413,1.13E-08,280.3125,4.656042128
3.967224402,0.400645235,8.56E-11,275.1875,5.008968105
4.087160214,0.422367249,1.47E-09,279.9375,4.675834429
4.011386569,0.405409796,2.89E-09,268.9375,4.588842131
3.996024843,0.40291144,7.96E-11,274.125,4.672529713
4.01443669,0.402694679,1.25E-10,282.9375,4.291181239
3.917255062,0.390727528,4.92E-09,279.9375,5.105493525
4.064237767,0.422131766,9.65E-11,281.4375,5.14404309
3.979032209,0.403953775,1.30E-10,281.9375,5.141696015
4.042654022,0.416396445,5.23E-10,281.4375,5.056704107
4.030981951,0.414190279,1.33E-10,274.25,5.09420214
4.028387634,0.416586863,1.58E-08,276.4375,5.383247352
3.944338548,0.397619286,1.56E-08,273.5625,5.280047424
4.079085742,0.419508876,2.91E-11,280.625,4.678318169
4.015242376,0.419754798,9.42E-11,278.9375,5.967806054
4.025423995,0.403851444,1.54E-08,281.3125,4.275084913
3.979077617,0.402324896,4.22E-09,274.8125,5.064809937
