geneID,yli_prot.1,proteinID
Yarrowia_lipolytica_Seq_3377,1.0956392e-05,YIL043C
Yarrowia_lipolytica_Seq_3402,0.00013120163350000002,YPL281C
Yarrowia_lipolytica_Seq_3428,3.11665375e-06,YKR043C
Yarrowia_lipolytica_Seq_3436,5.915349950000001e-05,YKR009C
Yarrowia_lipolytica_Seq_3446,4.88047275e-06,YJL130C
Yarrowia_lipolytica_Seq_3450,1.3166009999999998e-06,YOL097C
Yarrowia_lipolytica_Seq_3455,1.0969132999999998e-05,YNL241C
Yarrowia_lipolytica_Seq_3477,2.3097475000000003e-07,YBR126C
Yarrowia_lipolytica_Seq_3483,5.749098e-06,YOL143C
Yarrowia_lipolytica_Seq_3488,1.0996063000000002e-05,YGL009C
Yarrowia_lipolytica_Seq_3491,1.21491055e-05,YCR053W
Yarrowia_lipolytica_Seq_3498,1.34588e-07,YJL068C
Yarrowia_lipolytica_Seq_3500,2.8153569999999996e-06,YLL001W
Yarrowia_lipolytica_Seq_3507,1.0116614999999998e-05,YGL256W
Yarrowia_lipolytica_Seq_3521,2.77229e-07,YDL040C
Yarrowia_lipolytica_Seq_3533,2.2026467e-05,YBR117C
Yarrowia_lipolytica_Seq_355,3.7314125e-06,YBR159W
Yarrowia_lipolytica_Seq_3554,2.395184675e-05,YBR121C
Yarrowia_lipolytica_Seq_3568,6.32885e-08,YGL027C
Yarrowia_lipolytica_Seq_3588,3.8146719999999997e-06,YGL080W
Yarrowia_lipolytica_Seq_3589,1.124265e-07,YMR301C
Yarrowia_lipolytica_Seq_3599,6.6490405e-06,YMR217W
Yarrowia_lipolytica_Seq_3622,4.3437375e-07,YDR098C
Yarrowia_lipolytica_Seq_3637,2.3841975000000003e-07,YGL065C
Yarrowia_lipolytica_Seq_3641,7.43061e-06,YPL091W
Yarrowia_lipolytica_Seq_3649,6.53425e-08,YOR245C
Yarrowia_lipolytica_Seq_366,5.95106925e-06,YGL205W
Yarrowia_lipolytica_Seq_3685,2.43054e-06,YIR036C
Yarrowia_lipolytica_Seq_3702,6.50567025e-06,YLL051C
Yarrowia_lipolytica_Seq_3714,7.096875e-08,YBR241C
Yarrowia_lipolytica_Seq_3718,2.4690724999999996e-07,YDR297W
Yarrowia_lipolytica_Seq_3730,5.15923e-08,YPL147W
Yarrowia_lipolytica_Seq_3736,7.95428e-07,YKL209C
Yarrowia_lipolytica_Seq_3753,1.8749675e-07,YPL117C
Yarrowia_lipolytica_Seq_3765,1.8888530000000002e-06,YOL140W
Yarrowia_lipolytica_Seq_3782,4.839585e-07,YNR008W
Yarrowia_lipolytica_Seq_3799,4.32859e-07,YLL048C
Yarrowia_lipolytica_Seq_3804,8.42794e-06,YGR061C
Yarrowia_lipolytica_Seq_3809,6.0418325e-06,YJL060W
Yarrowia_lipolytica_Seq_3823,4.725739e-06,YLR420W
Yarrowia_lipolytica_Seq_3842,4.4038275e-07,Geotrichum_candidum_Seq_2298
Yarrowia_lipolytica_Seq_3873,3.902096750000001e-06,YPR069C
Yarrowia_lipolytica_Seq_3934,5.99974925e-06,YFR030W
Yarrowia_lipolytica_Seq_3946,1.4696829999999998e-06,YNL202W
Yarrowia_lipolytica_Seq_3954,3.4587717500000005e-06,YJR095W
Yarrowia_lipolytica_Seq_3965,2.6112712749999998e-05,YKR066C
Yarrowia_lipolytica_Seq_3973,2.5897665e-06,YBR222C
Yarrowia_lipolytica_Seq_4005,9.020378250000001e-06,YBR006W
