protein,region,n_species,Y_lipolytica,K_lactis,K_marxianus,S_cerevisiae
YGR286C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR287C,S_cerevisiae,1,0,0,0,1
YGR289C,Y_lipolytica_and_K_lactis_and_S_cerevisiae,3,1,1,0,1
YGR292W,S_cerevisiae,1,0,0,0,1
YHL003C,S_cerevisiae,1,0,0,0,1
YHL011C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHL012W,S_cerevisiae,1,0,0,0,1
YHL016C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHL018W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YHL032C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHL036W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YHR001W-A,S_cerevisiae,1,0,0,0,1
YHR002W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR007C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR008C,Y_lipolytica_and_K_marxianus_and_S_cerevisiae,3,1,0,1,1
YHR011W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR013C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR018C,S_cerevisiae,1,0,0,0,1
YHR019C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR020W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR025W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR026W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR037W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR039C-A,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR042W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR043C,S_cerevisiae,1,0,0,0,1
YHR044C,S_cerevisiae,1,0,0,0,1
YHR046C,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YHR051W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR063C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR067W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR068W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR072W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR074W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR091C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR092C,S_cerevisiae,1,0,0,0,1
YHR094C,S_cerevisiae,1,0,0,0,1
YHR096C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR100C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR104W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR106W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR109W,S_cerevisiae,1,0,0,0,1
YHR116W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR119W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR123W,S_cerevisiae,1,0,0,0,1
YHR128W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR137W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR144C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR162W,S_cerevisiae,1,0,0,0,1
YHR163W,S_cerevisiae,1,0,0,0,1
YHR174W,S_cerevisiae,1,0,0,0,1
YHR183W,S_cerevisiae,1,0,0,0,1
YHR190W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR201C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR208W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YHR215W,S_cerevisiae,1,0,0,0,1
YHR216W,S_cerevisiae,1,0,0,0,1
YIL002C,S_cerevisiae,1,0,0,0,1
YIL006W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL009W,S_cerevisiae,1,0,0,0,1
YIL010W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL013C,S_cerevisiae,1,0,0,0,1
YIL020C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL023C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL043C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL048W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL053W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YIL066C,S_cerevisiae,1,0,0,0,1
YIL074C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL078W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL083C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YIL094C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
