protein,Y_lipolytica,K_lactis,K_marxianus,S_cerevisiae
YHR190W,-1.3640422407573396,0.1607104412503138,1.4351997052018632,-0.23186790569483742
YHR208W,-1.3561726002435177,-0.2732216642757148,1.4306041730925083,0.19879009142672385
YIL074C,1.3117230144733867,-1.188586079849484,0.5938186365261539,-0.7169555711500584
YIL078W,1.5901238594228289,0.11488439708941438,-0.8036108280392698,-0.901397428472973
YIL094C,-1.2936848488422392,-0.5059137120873143,0.4248501581641839,1.3747484027653696
YIL116W,-0.5403916954825213,-1.1290003117657441,0.11362032293791591,1.5557716843103495
YIL125W,-1.6885443015212056,0.3451899749979902,0.4193266137606844,0.924027712762528
YIL155C,1.546613096167265,-1.0654773499530399,-0.6630605620133194,0.18192481579909434
YIR034C,-1.7022339786219545,0.7544343126044835,0.678919644903168,0.26888002111430287
YIR036C,-0.9023820273672236,-0.21136877477857802,-0.5658020889243397,1.679552891070143
YJL060W,0.030183181571652503,-1.2605936669088675,-0.29392555135543935,1.5243360366926544
YJL068C,0.9962162682746799,-1.6553312943576304,0.4880112033440332,0.17110382273891808
YJL088W,1.1636407576754693,-0.8286149611796351,0.8079911486496082,-1.143016945145442
YJL101C,-0.5654561873534714,-0.7480364265324208,1.719306747905691,-0.4058141340197984
YJL130C,1.7045238126410238,-0.8137485695360369,-0.5789383064129386,-0.31183693669204976
YJL153C,-1.6618347457504274,0.09459084728936899,0.7588113588104564,0.8084325396506008
YJL155C,-1.2114637627486475,1.0648045823466838,-0.7596747001127904,0.9063338805147549
YJL167W,0.7539126506452906,0.2050413177192858,-1.6898028528027698,0.7308488844381936
YJL200C,-0.28681399488990134,1.213875517277004,0.5400932789094707,-1.467154801296577
YJR009C,1.3475404189573574,-1.4366143106823508,0.28568737871031985,-0.1966134869853279
YJR010W,0.03415805802610733,-0.662742618359344,1.6108350241857696,-0.9822504638525331
YJR016C,0.4614037942582827,1.113416752672398,0.021100640497787468,-1.5959211874284691
YJR019C,0.15661265885965917,0.19051423624077435,-1.5662098959037583,1.219083000803325
YJR095W,0.10546524937132051,1.0257860471371307,0.5060028598463666,-1.637254156354817
YJR104C,-0.5776929212076409,0.1664279135256982,1.5386747359390867,-1.1274097282571438
YJR105W,-0.6264912932681842,0.19596979319736868,-1.1031530921631876,1.5336745922340032
YJR121W,-0.41673375270462865,-0.7897356400272367,-0.5091650520222288,1.7156344447540943
YJR143C,-1.5671942216100359,1.0846876053331962,0.5954769332773897,-0.11297031700054994
YKL001C,-0.7793228910765055,-0.04223144527449883,1.6463734964084764,-0.824819160057472
YKL016C,-0.3233935401998177,-0.9467800608394401,-0.4118978331224735,1.682071434161732
YKL035W,-1.5380765143143822,0.33424838438191345,-0.0297494413582358,1.2335775712907044
YKL060C,1.4157787809331044,0.3256939563555937,-1.3026682167946808,-0.43880452049401175
YKL067W,-1.0144304222226488,-0.06062527004186005,-0.5554916240434521,1.6305473163079622
YKL080W,-1.6062420953215022,0.24892253136228418,1.1460277875406228,0.2112917764185981
YKL085W,0.6496350963740818,0.991782108683199,-0.031019654294617404,-1.610397550762664
YKL103C,0.7593168434033418,0.4913499570446692,-1.7207624093717353,0.4700956089237242
YKL104C,0.694244380431659,0.06062264908157503,-1.6481493599663806,0.8932823304531464
YKL106W,-1.0782296771517157,1.2168173721114015,0.7514293006158138,-0.8900169955755001
YKL127W,-1.2113833884354264,-0.7393320586976035,0.7712829635360733,1.1794324835969543
YKL141W,1.731711080454198,-0.5859303941305563,-0.5459124217256758,-0.5998682645979642
YKL148C,1.5787315232752903,-0.07618963818663085,-0.31942267160476634,-1.1831192134838926
YKL150W,0.16776013043209365,-0.9547708039898068,1.5662321486023054,-0.7792214750445928
YKL152C,0.15087002610936756,-1.6348010381846811,0.4228744716347647,1.0610565404405488
YKL182W,-0.26899631459363377,0.738734693956678,1.0441118426556406,-1.513850222018684
YKL211C,1.4577027937965044,0.3798231379625323,-0.7728414563569221,-1.0646844754021128
YKL212W,-0.7316827765411146,-0.25456799401797625,-0.7138315650133279,1.7000823355724193
YKR009C,-0.5073047748013925,-0.3446487255798918,-0.8509231554429006,1.702876655824186
YKR043C,-0.5691380767378175,0.8572396372241854,-1.348152270857988,1.0600507103716197
YKR066C,0.28941749237777187,0.6465779166355792,0.7689604212958756,-1.704955830309227
YKR080W,0.12677122666353868,-1.4148167971673793,1.403197268060707,-0.11515169755686545
YKR097W,-1.2838701802297896,1.5198526379041701,-0.20130227014457733,-0.03468018752980161
YLL001W,0.6967608936223317,-1.5581836404300318,-0.1674371973776748,1.0288599441853747
YLL018C,1.6124107965478096,0.005639623628441856,-0.595652254087239,-1.0223981660890138
YLL041C,1.3980087150680849,0.07380664775056839,-0.04416929869986611,-1.4276460641187882
YLL051C,-1.2388689382425924,1.4345886722390417,-0.5383175767748103,0.3425978427783668
YLR017W,-0.581592750833339,1.1823616120530704,0.7202304032564041,-1.320999264476136
YLR027C,1.5974568942514575,0.07183279441179308,-0.6769941413253427,-0.99229554733791
YLR060W,-0.3476955646534339,-1.182458624356116,-0.04430954824837976,1.5744637372579262
YLR089C,0.8668412154944818,-0.23649113739218422,-1.5386920267904307,0.9083419486881342
YLR109W,-0.39165540310999347,0.715826370186548,1.1188624554921542,-1.4430334225687107
YLR172C,1.0235385374747032,-1.3527244689562246,-0.566270798803825,0.8954567302853464
YLR209C,-0.20365212435856608,0.9696460290145963,0.7842517486083727,-1.5502456532644038
YLR345W,-1.593981227356432,-0.10441064343976797,0.7941741625328362,0.9042177082633608
YLR354C,-0.7582276709287187,-0.3068656483353791,-0.6429771350099835,1.7080704542740828
YLR355C,-1.5913935889738235,0.04448133348600416,0.4067006963900477,1.140211559097771
YLR359W,-0.733449365082524,-1.218640813928336,1.1653049135474036,0.7867852654634578
YLR410W,-1.2569812703211793,-0.2923862443126754,0.021610546235447392,1.527756968398406
YLR420W,1.5511249243201348,-0.2715668337318233,-0.047483312414572335,-1.2320747781737391
YLR447C,-0.6288541196408618,0.6315737339637797,1.2646681184047064,-1.267387732727623
YML004C,1.2317741476531714,-1.555913587921135,0.23037845942504895,0.09376098084291469
YML008C,0.39652575526636163,-0.10371356591585551,-1.5228401346022196,1.2300279452517138
YML075C,0.8736321973702612,0.046668992334727294,0.72541080148813,-1.6457119911931186
YMR006C,-0.42883085911236796,-0.7262149227066416,-0.5673899008048248,1.722435682623832
YMR015C,0.20335589178891078,-1.644749732868188,0.3931022052631858,1.0482916358160936
YMR054W,-0.9862887132928976,0.8317496000592064,1.1551113836195044,-1.0005722703858153
YMR058W,0.033377424477423055,0.5712866004912205,-1.6232612831284396,1.0185972581597942
YMR083W,0.9034908419725614,0.6757306050733037,0.07065733308331067,-1.6498787801291745
YMR099C,-0.7998128152473882,1.350733119660815,-1.1073444317522274,0.5564241273388004
YMR108W,-0.7039631712137023,0.0697908404036661,-0.9671408043296925,1.6013131351397243
YMR110C,0.31207734140637994,-0.6466451867708967,-1.1420078541633059,1.476575699527823
YMR120C,-0.8630763814648241,-0.6014106354379593,-0.22196907163788965,1.6864560885406739
YMR145C,-0.9708542778623366,-0.543623476512982,-0.14139732637067898,1.6558750807459977
YMR165C,-1.7155276323623643,0.37352738919411865,0.5789134618792741,0.7630867812889698
YMR170C,0.7062143602613016,0.8959462684234906,0.04007431514165542,-1.642234943826452
YMR217W,0.7949493982242004,-1.7157633675936046,0.47185987938247687,0.4489540899869266
YMR226C,-1.2966762721982685,-0.5220395162326562,0.4665024838016231,1.3522133046293003
YMR241W,1.125474548411895,0.7360315841939111,-0.45171131077342364,-1.409794821832382
YMR243C,0.4661304867223262,-1.4591564105861423,-0.2652398510135304,1.258265774877348
YMR250W,-0.5813750077157556,-0.6723377125302745,-0.4740676400376933,1.7277803602837238
YMR278W,0.4178022803628263,1.4168611781834135,-1.1770918621052255,-0.6575715964410144
YMR300C,-1.029142379797942,1.3843294180084824,0.5157386914849098,-0.8709257296954536
YMR301C,-0.9593198832783694,1.6092552479616045,-0.6983273744093648,0.04839200972612855
