all_gene,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9
YBR052C,1.14E-06,1.09E-06,1.29E-06,1.34E-06,1.08E-06,1.28E-06,1.28E-06,1.42E-06,1.20E-06
YOR127W,,,,,,,,,
YDR137W,,,,,,,,,
YBR030W,,,,,,,,,
YLR032W,,,,,,,,,
R0030W,,,,,,,,,
YOR101W,1.09E-07,1.07E-07,1.28E-07,1.08E-07,1.00E-07,,9.37E-08,9.24E-08,1.67E-07
YLR084C,,,,,,,,,
YNR018W,8.21E-07,9.66E-07,1.27E-06,1.39E-06,1.18E-06,1.32E-06,1.36E-06,1.21E-06,1.02E-06
YCL001W,,,,,,,,,
YLR107W,,,,4.18E-09,,,,,
YOR346W,,,,,,,,,
YNL312W,2.06E-06,2.13E-06,2.73E-06,3.54E-06,2.11E-06,2.23E-06,2.00E-06,1.93E-06,2.09E-06
YBR087W,2.48E-07,2.35E-07,2.76E-07,3.45E-07,2.51E-07,2.58E-07,2.72E-07,2.66E-07,1.61E-07
YFL047W,1.32E-07,1.20E-07,1.63E-07,1.89E-07,1.27E-07,2.07E-07,1.56E-07,1.37E-07,7.75E-08
YMR154C,,,,,,,,,
YBR192W,1.20E-07,,1.60E-07,1.74E-07,,,9.07E-08,,
YER070W,4.34E-07,6.03E-07,1.00E-06,1.17E-06,9.62E-07,1.21E-06,1.17E-06,1.48E-06,1.48E-06
YGR180C,2.33E-05,2.26E-05,2.11E-05,1.96E-05,1.03E-05,9.76E-06,7.96E-06,7.15E-06,6.70E-06
YPL208W,,,6.05E-08,,,,,,
YLR137W,,,,,,,,,
YGR085C,1.11E-05,1.20E-05,1.66E-05,2.05E-05,1.60E-05,1.96E-05,2.08E-05,2.24E-05,2.13E-05
YGR034W,1.47E-07,1.62E-07,2.13E-07,2.63E-07,2.17E-07,2.71E-07,2.83E-07,3.10E-07,2.93E-07
YLR406C,2.29E-06,2.44E-06,3.01E-06,3.74E-06,2.91E-06,3.72E-06,3.99E-06,4.56E-06,4.28E-06
YIL052C,4.77E-06,5.98E-06,7.63E-06,9.35E-06,6.90E-06,8.32E-06,8.61E-06,9.61E-06,9.00E-06
YDR500C,4.85E-06,5.39E-06,6.91E-06,8.45E-06,6.95E-06,8.87E-06,9.73E-06,1.10E-05,1.04E-05
YDL184C,,,,,,,,,
YDR012W,3.28E-06,3.24E-06,3.56E-06,3.98E-06,3.21E-06,4.12E-06,4.25E-06,4.68E-06,4.42E-06
YPL131W,1.69E-05,1.76E-05,2.41E-05,3.00E-05,2.37E-05,3.01E-05,3.13E-05,3.50E-05,3.37E-05
YLR448W,2.90E-05,2.91E-05,3.92E-05,4.83E-05,3.87E-05,4.89E-05,5.15E-05,5.63E-05,5.37E-05
YER067W,2.91E-06,2.72E-06,1.48E-06,1.19E-06,6.95E-07,5.57E-07,8.11E-07,1.10E-06,6.90E-07
YMR182C,,,,,,,,,
YPR165W,5.07E-06,4.61E-06,5.44E-06,5.90E-06,3.60E-06,3.63E-06,3.63E-06,3.06E-06,2.54E-06
YIL118W,1.11E-06,9.06E-07,1.04E-06,1.24E-06,9.91E-07,1.19E-06,1.20E-06,1.14E-06,1.11E-06
YNL180C,4.54E-07,4.67E-07,4.20E-07,3.26E-07,1.71E-07,1.42E-07,1.37E-07,1.80E-07,1.66E-07
YNL163C,6.81E-08,8.54E-08,7.48E-08,9.10E-08,7.67E-08,7.54E-08,8.38E-08,7.30E-08,6.54E-08
YBR153W,,,,,,,,,
YDR236C,1.22E-07,,1.48E-07,,,,,,
YMR139W,5.50E-07,5.06E-07,4.40E-07,4.03E-07,3.74E-07,3.82E-07,3.88E-07,3.72E-07,3.07E-07
YFL033C,,,,,,,,,
YNL207W,2.29E-07,2.00E-07,3.09E-07,3.62E-07,3.28E-07,3.46E-07,3.52E-07,3.75E-07,3.59E-07
YMR283C,,,,,,,,,
YLR029C,2.74E-05,2.88E-05,4.01E-05,4.79E-05,3.88E-05,4.82E-05,5.01E-05,5.54E-05,5.24E-05
YIL133C,8.05E-06,7.74E-06,1.01E-05,1.27E-05,1.03E-05,1.23E-05,1.31E-05,1.47E-05,1.42E-05
YBR084C-A,1.40E-05,1.58E-05,2.07E-05,2.46E-05,2.05E-05,2.62E-05,2.66E-05,2.97E-05,2.81E-05
YPL079W,3.31E-05,3.82E-05,4.50E-05,5.36E-05,4.14E-05,5.57E-05,5.51E-05,5.87E-05,5.57E-05
YGR148C,2.15E-06,2.28E-06,3.23E-06,3.96E-06,3.37E-06,4.09E-06,4.23E-06,4.81E-06,4.65E-06
YDR471W,1.72E-05,1.92E-05,2.50E-05,3.09E-05,2.47E-05,3.03E-05,3.27E-05,3.61E-05,3.39E-05
YFR032C-A,3.42E-06,3.79E-06,4.64E-06,5.23E-06,4.40E-06,5.80E-06,6.32E-06,7.03E-06,7.19E-06
YGL030W,1.46E-05,1.53E-05,2.13E-05,2.51E-05,2.14E-05,2.72E-05,2.78E-05,3.20E-05,3.07E-05
YBL027W,1.40E-05,1.58E-05,2.07E-05,2.46E-05,2.05E-05,2.62E-05,2.66E-05,2.97E-05,2.81E-05
YBR191W,4.19E-06,4.51E-06,5.47E-06,6.59E-06,5.17E-06,6.53E-06,6.71E-06,7.39E-06,7.10E-06
YER117W,8.78E-06,9.68E-06,1.29E-05,1.59E-05,1.29E-05,1.61E-05,1.65E-05,1.82E-05,1.71E-05
YGL031C,3.36E-05,3.77E-05,4.96E-05,6.03E-05,4.86E-05,5.87E-05,6.13E-05,6.69E-05,6.37E-05
YGL103W,1.50E-05,1.67E-05,2.14E-05,2.49E-05,2.10E-05,2.55E-05,2.62E-05,2.90E-05,2.75E-05
YFR031C-A,1.67E-05,1.75E-05,2.29E-05,2.77E-05,2.32E-05,2.86E-05,3.02E-05,3.37E-05,3.18E-05
YPL249C-A,3.51E-05,3.71E-05,4.95E-05,5.86E-05,4.92E-05,5.95E-05,6.64E-05,7.36E-05,7.06E-05
YJL189W,1.28E-05,1.51E-05,1.99E-05,2.44E-05,2.07E-05,2.53E-05,2.65E-05,3.01E-05,2.87E-05
YOR063W,3.19E-05,3.51E-05,4.60E-05,5.63E-05,4.65E-05,5.68E-05,5.97E-05,6.78E-05,6.37E-05
YMR142C,2.92E-05,3.27E-05,4.60E-05,5.43E-05,4.41E-05,5.36E-05,5.58E-05,6.14E-05,5.84E-05
YOR312C,1.61E-05,1.80E-05,2.36E-05,2.91E-05,2.33E-05,2.95E-05,3.15E-05,3.56E-05,3.39E-05
YBL087C,8.78E-06,9.68E-06,1.29E-05,1.59E-05,1.29E-05,1.61E-05,1.65E-05,1.82E-05,1.71E-05
YKL006W,2.87E-06,3.16E-06,4.35E-06,5.43E-06,4.32E-06,5.42E-06,5.71E-06,6.39E-06,6.09E-06
YKL180W,2.69E-05,3.03E-05,4.03E-05,4.83E-05,4.02E-05,5.00E-05,5.19E-05,5.84E-05,5.52E-05
YNL301C,6.44E-06,6.86E-06,8.93E-06,1.09E-05,8.55E-06,1.11E-05,1.17E-05,1.29E-05,1.26E-05
YGL135W,8.53E-06,8.57E-06,1.08E-05,1.29E-05,1.02E-05,1.21E-05,1.35E-05,1.35E-05,1.31E-05
