all_gene,prot.1
YGL038C,3.94966E-06
YGR037C,2.81221E-05
YNL074C,4.55424E-06
YNL073W,1.05692E-06
YNL287W,0.000155192
YPR060C,2.01201E-05
YOL064C,0.000109453
YHL032C,1.92189E-06
YIL155C,1.5446E-05
YNL236W,6.85122E-06
YER023W,0.000148445
YDR300C,2.13117E-05
YOR211C,1.81281E-05
YPR035W,0.00093087
YBL015W,3.09937E-05
YEL052W,3.98697E-06
YBL017C,4.22098E-05
YOR133W; YDR385W,0.004732205
YDR052C,2.17475E-06
YBR218C,0.000181981
YPR111W,7.8748E-06
YLR120C,1.04882E-05
YPR058W,1.81234E-05
YKL120W,0.00012688
YPL082C,2.50321E-05
YLR203C,2.33702E-05
YOR373W,3.58637E-06
YMR308C,9.41442E-05
YGR044C,2.07478E-06
YLR205C,7.22776E-07
YML120C,1.9218E-05
YKL119C,1.63353E-06
YKL122C,5.83498E-06
YDR075W,7.99362E-06
YDR047W,1.45721E-05
YPR190C,1.57831E-05
YIL154C,4.44581E-06
YMR202W,0.000204031
YLR056W,6.82123E-05
YIL150C,7.62659E-07
YDR001C,1.4705E-05
YHR079C,3.23828E-06
YKL079W,1.12767E-05
YLR447C,0.000106618
YBR123C,9.6123E-06
YKL212W,7.27305E-05
YNR043W,7.51945E-05
YNR041C,4.96233E-06
YGR253C,7.92589E-05
YDR356W,4.04127E-05
YDL029W,4.45276E-05
YLL048C,7.17901E-05
YDR405W,1.11609E-05
YKL167C,7.8248E-06
YNL103W,5.05542E-06
YDL078C,4.17991E-05
YLR403W,1.0307E-05
YCR028C-A,0.000102867
YJL115W,1.73799E-05
YBR249C,0.000353122
YGR286C,2.07731E-05
YNL316C,4.93353E-06
YNL315C,1.46951E-05
YKL157W,0.000104294
YLR314C,4.03099E-05
YJR076C,4.22665E-05
YIR032C,3.80725E-06
YIR030C,2.11475E-06
YKL191W,0.000128505
YNL280C,4.03441E-05
YKL192C,5.1439E-05
YKL189W,9.65256E-07
YHR094C,2.87534E-05
YDR345C,0.00016304
YHR092C,0.000119331
YHR107C,2.88062E-05
YLR172C,2.74835E-05
YAL003W,0.001038709
YDR519W,9.00108E-06
YBR221C,0.000519578
YDR518W,8.12671E-06
YGR175C,0.000102221
YJL101C,5.57334E-05
YJL159W,0.000186306
YBL008W,3.66087E-06
YOR038C,4.55155E-06
YER025W,0.000288006
YLR113W,2.39068E-05
YPR159W,4.76907E-05
YNL268W,1.22775E-05
YOR231W,8.47008E-06
YPL140C,9.00682E-07
YAL029C,1.63286E-05
YDR176W,5.97144E-06
YDL208W,2.90833E-05
YFR052W,6.13161E-05
YMR309C,0.000236404
YLR335W,5.40126E-05
YML031W,2.47673E-05
YDR211W,3.77039E-05
YLR291C,1.42697E-05
YGR140W,1.09962E-05
YGL122C,1.51845E-05
YIR006C,7.97298E-05
YLL036C,8.97873E-06
YJL203W,3.23804E-06
YJL201W,1.00473E-05
YGR285C,0.000216084
YBR208C,6.3105E-06
YJR063W,8.19471E-06
YGL207W,8.67455E-05
YNL330C,9.25099E-06
YOR270C,0.000160077
YGR049W,1.08351E-05
YIL075C,0.000157755
YGR229C,3.00557E-05
YMR165C,6.29723E-06
YDR011W,2.22331E-05
YER022W,5.99831E-06
YBR253W,1.57711E-06
YDR069C,2.83192E-05
YDR422C,4.49287E-06
YGL169W,7.26567E-06
YPL029W,9.4841E-07
YGR155W,0.000224891
YKR092C,6.77507E-05
YDR410C,3.31152E-07
YGR104C,9.01416E-06
YNL016W,0.00018959
YPL106C,0.001080159
YBR169C,1.17872E-05
YJL176C,1.78825E-05
YIL126W,4.90282E-05
YER133W,7.23237E-05
YDR129C,0.00015966
YKL203C,5.78429E-06
YPR017C,3.95305E-07
YBL050W,2.2612E-05
YJL155C,6.23815E-06
YBR119W,2.36993E-06
YOR017W,3.2085E-06
YGL252C,2.04908E-05
YEL051W,5.55218E-05
YEL050C,2.02776E-05
YEL047C,6.95223E-05
YEL044W,1.62706E-06
YEL043W,5.06047E-06
YEL042W,3.64777E-05
YEL040W,0.000134709
YEL038W,1.68048E-05
YEL037C,6.54831E-05
YEL036C,2.66497E-05
YER132C,2.20715E-06
YER172C,5.24544E-05
YER174C,1.37518E-05
YER175C,7.58923E-06
YER176W,1.31857E-05
YER163C,2.63789E-06
YER164W,2.74399E-05
YER166W,4.84033E-05
