all_gene,prot.1,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17,prot.18,prot.19,prot.2,prot.20,prot.21,prot.22,prot.23,prot.24,prot.25,prot.26,prot.27,prot.28,prot.29,prot.3,prot.30,prot.31,prot.32,prot.33,prot.34,prot.35,prot.36,prot.37,prot.38,prot.39,prot.4,prot.40,prot.41,prot.42,prot.5,prot.6,prot.7,prot.8,prot.9
YGL090W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YHR192W,1.59771E-08,1.93986E-08,1.54321E-08,1.7538E-08,1.56762E-08,1.88414E-08,1.75889E-08,2.27008E-08,2.22755E-08,2.0438E-08,2.10519E-08,1.35207E-08,2.11898E-08,2.23314E-08,3.04487E-08,1.98387E-08,2.52178E-08,2.66409E-08,1.85367E-08,2.2138E-08,1.11975E-08,2.32254E-08,1.72925E-08,2.23466E-08,1.98569E-08,2.53498E-08,2.24211E-08,2.80151E-08,2.45583E-08,2.5407E-08,1.87556E-08,1.86384E-08,2.20132E-08,2.18742E-08,3.20289E-08,2.89201E-08,3.13498E-08,1.77178E-08,1.79819E-08,1.48408E-08,1.50792E-08,1.70347E-08
YOR084W,6.86626E-08,4.6818E-08,3.94621E-08,4.66664E-08,5.96784E-08,4.56194E-08,5.58418E-08,4.51497E-08,5.14384E-08,2.59875E-08,3.20973E-08,6.27876E-08,2.8575E-08,3.84363E-08,1.00095E-07,7.77307E-08,8.45874E-08,7.88014E-08,7.80191E-08,9.71275E-08,4.41156E-08,6.5059E-08,5.63742E-08,6.77924E-08,1.52706E-07,1.52108E-07,1.89113E-07,6.65382E-08,7.13406E-08,8.18599E-08,6.77651E-08,5.96826E-08,9.10327E-08,1.26455E-07,6.21631E-08,5.9123E-08,4.9492E-08,9.04341E-08,1.27008E-07,2.81729E-08,3.12565E-08,3.86128E-08
YDR439W,1.09335E-08,8.89082E-09,8.56152E-09,9.2005E-09,6.13763E-09,1.14857E-08,7.34623E-09,8.24108E-09,8.55816E-09,6.76961E-09,1.14062E-08,1.46843E-08,7.21382E-09,6.8139E-09,8.75879E-09,9.02304E-09,2.27902E-08,1.72915E-08,8.37532E-09,1.19337E-08,6.28018E-09,1.45641E-08,1.24733E-08,1.21625E-08,1.04546E-08,1.47981E-08,9.49165E-09,1.49576E-08,1.70527E-08,1.1636E-08,9.59408E-09,1.57225E-08,1.05886E-08,7.23332E-09,1.65893E-08,1.56524E-08,1.72411E-08,9.39865E-09,5.90261E-09,7.12886E-09,7.40424E-09,1.18016E-08
YGR136W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCL034W,5.17386E-07,7.38027E-07,5.97684E-07,6.38908E-07,6.83886E-07,7.05516E-07,7.07562E-07,8.971E-07,9.24023E-07,8.4145E-07,8.97037E-07,4.67712E-07,9.97422E-07,9.99529E-07,6.1327E-07,4.62447E-07,7.07062E-07,7.04397E-07,5.04708E-07,5.97133E-07,4.20884E-07,7.48498E-07,4.63492E-07,7.79401E-07,6.26938E-07,7.60008E-07,7.01883E-07,8.72431E-07,7.99635E-07,9.00177E-07,5.91278E-07,6.13231E-07,5.7991E-07,4.83874E-07,8.88745E-07,9.99348E-07,1.07235E-06,4.29476E-07,4.37239E-07,4.62423E-07,4.60673E-07,5.59284E-07
YIL128W,3.88882E-08,4.0942E-08,3.68644E-08,4.09664E-08,4.5712E-08,3.98895E-08,4.48486E-08,5.86852E-08,5.16686E-08,5.90497E-08,5.82249E-08,3.5832E-08,6.07766E-08,7.29372E-08,8.70908E-08,1.07398E-07,1.13607E-07,9.93768E-08,4.74238E-08,5.64921E-08,2.42298E-08,5.02367E-08,3.48657E-08,5.75434E-08,7.86732E-08,9.44725E-08,7.91723E-08,6.19473E-08,5.26052E-08,6.38539E-08,5.35437E-08,8.04532E-08,4.75163E-08,5.96244E-08,4.0119E-08,5.88085E-08,5.00742E-08,6.48031E-08,6.04015E-08,3.4272E-08,3.46907E-08,2.23418E-08
YOL064C,3.60245E-08,3.27572E-08,2.69705E-08,3.19603E-08,3.22805E-08,3.0699E-08,2.84487E-08,5.9065E-08,5.69594E-08,5.80673E-08,8.53963E-08,2.98379E-08,8.06037E-08,8.4927E-08,4.78507E-08,5.43693E-08,3.84169E-08,5.38598E-08,3.99207E-08,5.51966E-08,2.66562E-08,4.52314E-08,2.68234E-08,4.80742E-08,5.26977E-08,5.44255E-08,5.89824E-08,5.03407E-08,4.76511E-08,4.53098E-08,3.77284E-08,4.81851E-08,4.89131E-08,4.00485E-08,8.94132E-08,6.0053E-08,9.60286E-08,4.30734E-08,3.82613E-08,2.58695E-08,2.38353E-08,4.60684E-08
YJR010W,1.14001E-06,1.7464E-06,1.46866E-06,1.56302E-06,1.69538E-06,1.62323E-06,1.7095E-06,2.33533E-06,1.85151E-06,2.44887E-06,3.74948E-06,8.70897E-07,3.12731E-06,2.56692E-06,2.13514E-06,2.67272E-06,2.99042E-06,3.03173E-06,1.78486E-06,2.28706E-06,1.08244E-06,1.7347E-06,1.03713E-06,1.84195E-06,1.92019E-06,2.42222E-06,2.17287E-06,2.15685E-06,1.88509E-06,2.06306E-06,1.8431E-06,2.43989E-06,1.80119E-06,1.50263E-06,2.09968E-06,2.20938E-06,2.01216E-06,1.61465E-06,1.69349E-06,1.09783E-06,1.19493E-06,1.41376E-06
YML082W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
